"year","genus","species","weight","plot_type"
1989,"Baiomys","taylori",8,"Long-term Krat Exclosure"
1989,"Baiomys","taylori",6,"Long-term Krat Exclosure"
1989,"Baiomys","taylori",7,"Long-term Krat Exclosure"
1990,"Baiomys","taylori",7,"Long-term Krat Exclosure"
1990,"Baiomys","taylori",8,"Long-term Krat Exclosure"
1990,"Baiomys","taylori",8,"Long-term Krat Exclosure"
1990,"Baiomys","taylori",8,"Long-term Krat Exclosure"
1990,"Baiomys","taylori",9,"Long-term Krat Exclosure"
1990,"Baiomys","taylori",10,"Long-term Krat Exclosure"
1990,"Baiomys","taylori",8,"Long-term Krat Exclosure"
1991,"Baiomys","taylori",6,"Control"
1991,"Baiomys","taylori",8,"Long-term Krat Exclosure"
1991,"Baiomys","taylori",8,"Long-term Krat Exclosure"
1991,"Baiomys","taylori",8,"Long-term Krat Exclosure"
1991,"Baiomys","taylori",8,"Long-term Krat Exclosure"
1991,"Baiomys","taylori",8,"Long-term Krat Exclosure"
1991,"Baiomys","taylori",9,"Long-term Krat Exclosure"
1991,"Baiomys","taylori",9,"Long-term Krat Exclosure"
1991,"Baiomys","taylori",9,"Long-term Krat Exclosure"
1991,"Baiomys","taylori",10,"Long-term Krat Exclosure"
1991,"Baiomys","taylori",13,"Long-term Krat Exclosure"
1991,"Baiomys","taylori",7,"Long-term Krat Exclosure"
1991,"Baiomys","taylori",8,"Long-term Krat Exclosure"
1991,"Baiomys","taylori",9,"Long-term Krat Exclosure"
1991,"Baiomys","taylori",9,"Long-term Krat Exclosure"
1991,"Baiomys","taylori",10,"Long-term Krat Exclosure"
1991,"Baiomys","taylori",11,"Long-term Krat Exclosure"
1991,"Baiomys","taylori",11,"Long-term Krat Exclosure"
1991,"Baiomys","taylori",12,"Long-term Krat Exclosure"
1991,"Baiomys","taylori",18,"Long-term Krat Exclosure"
1991,"Baiomys","taylori",7,"Long-term Krat Exclosure"
1992,"Baiomys","taylori",7,"Long-term Krat Exclosure"
1992,"Baiomys","taylori",7,"Long-term Krat Exclosure"
1992,"Baiomys","taylori",7,"Long-term Krat Exclosure"
1992,"Baiomys","taylori",8,"Long-term Krat Exclosure"
1992,"Baiomys","taylori",9,"Long-term Krat Exclosure"
1992,"Baiomys","taylori",9,"Long-term Krat Exclosure"
1977,"Dipodomys","merriami",36,"Control"
1977,"Dipodomys","merriami",37,"Control"
1977,"Dipodomys","merriami",39,"Control"
1977,"Dipodomys","merriami",40,"Control"
1977,"Dipodomys","merriami",41,"Control"
1977,"Dipodomys","merriami",42,"Control"
1977,"Dipodomys","merriami",43,"Control"
1977,"Dipodomys","merriami",44,"Control"
1977,"Dipodomys","merriami",44,"Control"
1977,"Dipodomys","merriami",47,"Control"
1977,"Dipodomys","merriami",47,"Control"
1977,"Dipodomys","merriami",47,"Control"
1977,"Dipodomys","merriami",49,"Control"
1977,"Dipodomys","merriami",51,"Control"
1977,"Dipodomys","merriami",52,"Control"
1977,"Dipodomys","merriami",55,"Control"
1977,"Dipodomys","merriami",31,"Long-term Krat Exclosure"
1977,"Dipodomys","merriami",39,"Long-term Krat Exclosure"
1977,"Dipodomys","merriami",40,"Long-term Krat Exclosure"
1977,"Dipodomys","merriami",29,"Control"
1977,"Dipodomys","merriami",39,"Control"
1977,"Dipodomys","merriami",41,"Control"
1977,"Dipodomys","merriami",42,"Control"
1977,"Dipodomys","merriami",45,"Control"
1977,"Dipodomys","merriami",46,"Control"
1977,"Dipodomys","merriami",22,"Control"
1977,"Dipodomys","merriami",29,"Control"
1977,"Dipodomys","merriami",37,"Control"
1977,"Dipodomys","merriami",37,"Control"
1977,"Dipodomys","merriami",38,"Control"
1977,"Dipodomys","merriami",39,"Control"
1977,"Dipodomys","merriami",41,"Control"
1977,"Dipodomys","merriami",42,"Control"
1977,"Dipodomys","merriami",42,"Control"
1977,"Dipodomys","merriami",45,"Control"
1977,"Dipodomys","merriami",46,"Control"
1977,"Dipodomys","merriami",53,"Control"
1977,"Dipodomys","merriami",34,"Control"
1977,"Dipodomys","merriami",36,"Control"
1977,"Dipodomys","merriami",38,"Control"
1977,"Dipodomys","merriami",39,"Control"
1977,"Dipodomys","merriami",40,"Control"
1977,"Dipodomys","merriami",40,"Control"
1977,"Dipodomys","merriami",40,"Control"
1977,"Dipodomys","merriami",41,"Control"
1977,"Dipodomys","merriami",41,"Control"
1977,"Dipodomys","merriami",41,"Control"
1977,"Dipodomys","merriami",44,"Control"
1977,"Dipodomys","merriami",44,"Control"
1977,"Dipodomys","merriami",40,"Control"
1977,"Dipodomys","merriami",40,"Control"
1977,"Dipodomys","merriami",40,"Control"
1977,"Dipodomys","merriami",41,"Control"
1977,"Dipodomys","merriami",43,"Control"
1977,"Dipodomys","merriami",44,"Control"
1977,"Dipodomys","merriami",44,"Control"
1977,"Dipodomys","merriami",45,"Control"
1977,"Dipodomys","merriami",45,"Control"
1977,"Dipodomys","merriami",46,"Control"
1977,"Dipodomys","merriami",47,"Control"
1977,"Dipodomys","merriami",49,"Control"
1977,"Dipodomys","merriami",51,"Control"
1977,"Dipodomys","merriami",48,"Long-term Krat Exclosure"
1977,"Dipodomys","merriami",29,"Control"
1977,"Dipodomys","merriami",37,"Control"
1977,"Dipodomys","merriami",37,"Control"
1977,"Dipodomys","merriami",37,"Control"
1977,"Dipodomys","merriami",38,"Control"
1977,"Dipodomys","merriami",39,"Control"
1977,"Dipodomys","merriami",39,"Control"
1977,"Dipodomys","merriami",40,"Control"
1977,"Dipodomys","merriami",40,"Control"
1977,"Dipodomys","merriami",41,"Control"
1977,"Dipodomys","merriami",42,"Control"
1977,"Dipodomys","merriami",46,"Control"
1977,"Dipodomys","merriami",46,"Control"
1977,"Dipodomys","merriami",48,"Control"
1977,"Dipodomys","merriami",48,"Control"
1977,"Dipodomys","merriami",31,"Long-term Krat Exclosure"
1977,"Dipodomys","merriami",35,"Long-term Krat Exclosure"
1977,"Dipodomys","merriami",39,"Long-term Krat Exclosure"
1977,"Dipodomys","merriami",40,"Long-term Krat Exclosure"
1977,"Dipodomys","merriami",42,"Long-term Krat Exclosure"
1977,"Dipodomys","merriami",43,"Long-term Krat Exclosure"
1977,"Dipodomys","merriami",44,"Long-term Krat Exclosure"
1977,"Dipodomys","merriami",49,"Long-term Krat Exclosure"
1977,"Dipodomys","merriami",40,"Long-term Krat Exclosure"
1977,"Dipodomys","merriami",35,"Control"
1977,"Dipodomys","merriami",36,"Control"
1977,"Dipodomys","merriami",36,"Control"
1977,"Dipodomys","merriami",42,"Control"
1977,"Dipodomys","merriami",45,"Control"
1977,"Dipodomys","merriami",45,"Control"
1977,"Dipodomys","merriami",48,"Control"
1978,"Dipodomys","merriami",31,"Control"
1978,"Dipodomys","merriami",35,"Control"
1978,"Dipodomys","merriami",37,"Control"
1978,"Dipodomys","merriami",38,"Control"
1978,"Dipodomys","merriami",38,"Control"
1978,"Dipodomys","merriami",38,"Control"
1978,"Dipodomys","merriami",38,"Control"
1978,"Dipodomys","merriami",39,"Control"
1978,"Dipodomys","merriami",40,"Control"
1978,"Dipodomys","merriami",40,"Control"
1978,"Dipodomys","merriami",41,"Control"
1978,"Dipodomys","merriami",41,"Control"
1978,"Dipodomys","merriami",41,"Control"
1978,"Dipodomys","merriami",41,"Control"
1978,"Dipodomys","merriami",41,"Control"
1978,"Dipodomys","merriami",42,"Control"
1978,"Dipodomys","merriami",42,"Control"
1978,"Dipodomys","merriami",43,"Control"
1978,"Dipodomys","merriami",43,"Control"
1978,"Dipodomys","merriami",43,"Control"
1978,"Dipodomys","merriami",43,"Control"
1978,"Dipodomys","merriami",43,"Control"
1978,"Dipodomys","merriami",43,"Control"
1978,"Dipodomys","merriami",43,"Control"
1978,"Dipodomys","merriami",44,"Control"
1978,"Dipodomys","merriami",44,"Control"
1978,"Dipodomys","merriami",45,"Control"
1978,"Dipodomys","merriami",46,"Control"
1978,"Dipodomys","merriami",46,"Control"
1978,"Dipodomys","merriami",47,"Control"
1978,"Dipodomys","merriami",47,"Control"
1978,"Dipodomys","merriami",48,"Control"
1978,"Dipodomys","merriami",48,"Control"
1978,"Dipodomys","merriami",49,"Control"
1978,"Dipodomys","merriami",49,"Control"
1978,"Dipodomys","merriami",51,"Control"
1978,"Dipodomys","merriami",52,"Control"
1978,"Dipodomys","merriami",53,"Control"
1978,"Dipodomys","merriami",26,"Control"
1978,"Dipodomys","merriami",34,"Control"
1978,"Dipodomys","merriami",35,"Control"
1978,"Dipodomys","merriami",36,"Control"
1978,"Dipodomys","merriami",36,"Control"
1978,"Dipodomys","merriami",36,"Control"
1978,"Dipodomys","merriami",37,"Control"
1978,"Dipodomys","merriami",38,"Control"
1978,"Dipodomys","merriami",39,"Control"
1978,"Dipodomys","merriami",39,"Control"
1978,"Dipodomys","merriami",40,"Control"
1978,"Dipodomys","merriami",42,"Control"
1978,"Dipodomys","merriami",43,"Control"
1978,"Dipodomys","merriami",44,"Control"
1978,"Dipodomys","merriami",35,"Control"
1978,"Dipodomys","merriami",36,"Control"
1978,"Dipodomys","merriami",36,"Control"
1978,"Dipodomys","merriami",37,"Control"
1978,"Dipodomys","merriami",40,"Control"
1978,"Dipodomys","merriami",40,"Control"
1978,"Dipodomys","merriami",17,"Control"
1978,"Dipodomys","merriami",21,"Control"
1978,"Dipodomys","merriami",26,"Control"
1978,"Dipodomys","merriami",29,"Control"
1978,"Dipodomys","merriami",29,"Control"
1978,"Dipodomys","merriami",30,"Control"
1978,"Dipodomys","merriami",36,"Control"
1978,"Dipodomys","merriami",37,"Control"
1978,"Dipodomys","merriami",37,"Control"
1978,"Dipodomys","merriami",38,"Control"
1978,"Dipodomys","merriami",38,"Control"
1978,"Dipodomys","merriami",39,"Control"
1978,"Dipodomys","merriami",39,"Control"
1978,"Dipodomys","merriami",40,"Control"
1978,"Dipodomys","merriami",41,"Control"
1978,"Dipodomys","merriami",41,"Control"
1978,"Dipodomys","merriami",42,"Control"
1978,"Dipodomys","merriami",43,"Control"
1978,"Dipodomys","merriami",43,"Control"
1978,"Dipodomys","merriami",43,"Control"
1978,"Dipodomys","merriami",43,"Control"
1978,"Dipodomys","merriami",44,"Control"
1978,"Dipodomys","merriami",44,"Control"
1978,"Dipodomys","merriami",44,"Control"
1978,"Dipodomys","merriami",44,"Control"
1978,"Dipodomys","merriami",45,"Control"
1978,"Dipodomys","merriami",45,"Control"
1978,"Dipodomys","merriami",45,"Control"
1978,"Dipodomys","merriami",45,"Control"
1978,"Dipodomys","merriami",45,"Control"
1978,"Dipodomys","merriami",46,"Control"
1978,"Dipodomys","merriami",46,"Control"
1978,"Dipodomys","merriami",46,"Control"
1978,"Dipodomys","merriami",47,"Control"
1978,"Dipodomys","merriami",48,"Control"
1978,"Dipodomys","merriami",48,"Control"
1978,"Dipodomys","merriami",51,"Control"
1978,"Dipodomys","merriami",16,"Control"
1978,"Dipodomys","merriami",17,"Control"
1978,"Dipodomys","merriami",19,"Control"
1978,"Dipodomys","merriami",27,"Control"
1978,"Dipodomys","merriami",31,"Control"
1978,"Dipodomys","merriami",32,"Control"
1978,"Dipodomys","merriami",32,"Control"
1978,"Dipodomys","merriami",35,"Control"
1978,"Dipodomys","merriami",36,"Control"
1978,"Dipodomys","merriami",37,"Control"
1978,"Dipodomys","merriami",39,"Control"
1978,"Dipodomys","merriami",39,"Control"
1978,"Dipodomys","merriami",39,"Control"
1978,"Dipodomys","merriami",40,"Control"
1978,"Dipodomys","merriami",40,"Control"
1978,"Dipodomys","merriami",41,"Control"
1978,"Dipodomys","merriami",41,"Control"
1978,"Dipodomys","merriami",41,"Control"
1978,"Dipodomys","merriami",42,"Control"
1978,"Dipodomys","merriami",43,"Control"
1978,"Dipodomys","merriami",44,"Control"
1978,"Dipodomys","merriami",44,"Control"
1978,"Dipodomys","merriami",44,"Control"
1978,"Dipodomys","merriami",45,"Control"
1978,"Dipodomys","merriami",45,"Control"
1978,"Dipodomys","merriami",47,"Control"
1978,"Dipodomys","merriami",28,"Control"
1978,"Dipodomys","merriami",36,"Control"
1978,"Dipodomys","merriami",37,"Control"
1978,"Dipodomys","merriami",39,"Control"
1978,"Dipodomys","merriami",40,"Control"
1978,"Dipodomys","merriami",40,"Control"
1978,"Dipodomys","merriami",43,"Control"
1978,"Dipodomys","merriami",43,"Control"
1978,"Dipodomys","merriami",44,"Control"
