"month","day","year","genus","species"
7,16,1977,"Neotoma","albigula"
7,16,1977,"Neotoma","albigula"
7,16,1977,"Dipodomys","merriami"
7,16,1977,"Dipodomys","merriami"
7,16,1977,"Dipodomys","merriami"
7,16,1977,"Perognathus","flavus"
7,16,1977,"Peromyscus","eremicus"
7,16,1977,"Dipodomys","merriami"
7,16,1977,"Dipodomys","merriami"
7,16,1977,"Perognathus","flavus"
7,16,1977,"Dipodomys","spectabilis"
7,16,1977,"Dipodomys","merriami"
7,16,1977,"Dipodomys","merriami"
7,16,1977,"Dipodomys","merriami"
7,16,1977,"Dipodomys","merriami"
7,16,1977,"Dipodomys","merriami"
7,16,1977,"Dipodomys","spectabilis"
7,16,1977,"Chaetodipus","penicillatus"
7,16,1977,"Perognathus","flavus"
7,17,1977,"Dipodomys","spectabilis"
7,17,1977,"Dipodomys","merriami"
7,17,1977,"Neotoma","albigula"
7,17,1977,"Dipodomys","merriami"
7,17,1977,"Sigmodon","hispidus"
7,17,1977,"Dipodomys","merriami"
7,17,1977,"Dipodomys","merriami"
7,17,1977,"Dipodomys","merriami"
7,17,1977,"Dipodomys","merriami"
7,17,1977,"Chaetodipus","penicillatus"
7,17,1977,"Dipodomys","spectabilis"
7,17,1977,"Dipodomys","merriami"
7,17,1977,"Dipodomys","merriami"
7,17,1977,"Dipodomys","merriami"
7,17,1977,"Dipodomys","merriami"
7,17,1977,"Dipodomys","merriami"
7,17,1977,"Onychomys","torridus"
7,17,1977,"Dipodomys","merriami"
7,17,1977,"Neotoma","albigula"
7,17,1977,"Dipodomys","merriami"
7,18,1977,"Dipodomys","merriami"
7,18,1977,"Dipodomys","merriami"
7,18,1977,"Dipodomys","spectabilis"
7,18,1977,"Dipodomys","merriami"
7,18,1977,"Dipodomys","merriami"
7,18,1977,"Dipodomys","merriami"
7,18,1977,"Dipodomys","merriami"
7,18,1977,"Dipodomys","merriami"
7,18,1977,"Dipodomys","merriami"
7,18,1977,"Chaetodipus","penicillatus"
7,18,1977,"Dipodomys","merriami"
7,18,1977,"Dipodomys","merriami"
7,18,1977,"Dipodomys","merriami"
7,18,1977,"Dipodomys","merriami"
7,18,1977,"Dipodomys","merriami"
7,18,1977,"Dipodomys","merriami"
7,18,1977,"Dipodomys","merriami"
7,18,1977,"Dipodomys","merriami"
7,18,1977,"Dipodomys","spectabilis"
7,18,1977,"Dipodomys","merriami"
7,18,1977,"Peromyscus","eremicus"
7,18,1977,"Dipodomys","merriami"
7,18,1977,"Dipodomys","merriami"
8,19,1977,"Dipodomys","merriami"
8,19,1977,"Dipodomys","merriami"
8,19,1977,"Dipodomys","merriami"
8,19,1977,"Dipodomys","merriami"
8,19,1977,"Dipodomys","merriami"
8,19,1977,"Dipodomys","ordii"
8,19,1977,"Perognathus","flavus"
8,19,1977,"Onychomys","sp."
8,19,1977,"Dipodomys","merriami"
8,19,1977,"Neotoma","albigula"
8,19,1977,"Dipodomys","spectabilis"
8,19,1977,"Perognathus","flavus"
8,19,1977,"Dipodomys","merriami"
8,19,1977,"Dipodomys","spectabilis"
8,19,1977,"Spermophilus","spilosoma"
8,19,1977,"Perognathus","flavus"
8,19,1977,"Dipodomys","merriami"
8,19,1977,"Dipodomys","spectabilis"
8,19,1977,"Perognathus","flavus"
8,19,1977,"Dipodomys","merriami"
8,20,1977,"Dipodomys","merriami"
8,20,1977,"Dipodomys","merriami"
8,20,1977,"Dipodomys","merriami"
8,20,1977,"Dipodomys","merriami"
8,20,1977,"Perognathus","flavus"
8,20,1977,"Dipodomys","merriami"
8,20,1977,"Chaetodipus","penicillatus"
8,20,1977,"Dipodomys","merriami"
8,20,1977,"Dipodomys","spectabilis"
8,20,1977,"Dipodomys","merriami"
8,20,1977,"Dipodomys","merriami"
8,20,1977,"Dipodomys","merriami"
8,20,1977,"Dipodomys","merriami"
8,20,1977,"Dipodomys","merriami"
8,20,1977,"Dipodomys","merriami"
8,20,1977,"Dipodomys","merriami"
8,20,1977,"Dipodomys","merriami"
8,20,1977,"Dipodomys","spectabilis"
8,20,1977,"Dipodomys","merriami"
8,20,1977,"Dipodomys","merriami"
8,20,1977,"Dipodomys","merriami"
8,20,1977,"Dipodomys","spectabilis"
8,20,1977,"Dipodomys","merriami"
8,20,1977,"Neotoma","albigula"
8,20,1977,"Neotoma","albigula"
8,20,1977,"Chaetodipus","penicillatus"
8,20,1977,"Dipodomys","merriami"
8,20,1977,"Dipodomys","spectabilis"
8,20,1977,"Dipodomys","merriami"
8,20,1977,"Dipodomys","merriami"
8,20,1977,"Perognathus","flavus"
8,21,1977,"Dipodomys","merriami"
8,21,1977,"Dipodomys","merriami"
8,21,1977,"Dipodomys","merriami"
8,21,1977,"Onychomys","sp."
8,21,1977,"Dipodomys","merriami"
8,21,1977,"Dipodomys","merriami"
8,21,1977,"Dipodomys","merriami"
8,21,1977,"Neotoma","albigula"
8,21,1977,"Dipodomys","merriami"
8,21,1977,"Dipodomys","merriami"
8,21,1977,"Dipodomys","merriami"
8,21,1977,"Dipodomys","merriami"
8,21,1977,"Dipodomys","merriami"
8,21,1977,"Dipodomys","merriami"
8,21,1977,"Dipodomys","merriami"
8,21,1977,"Dipodomys","merriami"
8,21,1977,"Dipodomys","merriami"
8,21,1977,"Dipodomys","merriami"
8,21,1977,"Dipodomys","merriami"
8,21,1977,"Dipodomys","merriami"
8,21,1977,"Dipodomys","spectabilis"
8,21,1977,"Dipodomys","merriami"
8,21,1977,"Perognathus","flavus"
8,21,1977,"Dipodomys","merriami"
8,21,1977,"Dipodomys","merriami"
8,21,1977,"Perognathus","flavus"
8,21,1977,"Dipodomys","merriami"
8,21,1977,"Dipodomys","merriami"
8,21,1977,"Dipodomys","merriami"
8,21,1977,"Dipodomys","merriami"
8,21,1977,"Dipodomys","spectabilis"
8,21,1977,"Dipodomys","merriami"
8,21,1977,"Dipodomys","merriami"
8,21,1977,"Dipodomys","merriami"
8,21,1977,"Dipodomys","merriami"
8,21,1977,"Dipodomys","spectabilis"
8,21,1977,"Dipodomys","merriami"
8,21,1977,"Dipodomys","merriami"
8,21,1977,"Dipodomys","merriami"
8,21,1977,"Dipodomys","spectabilis"
