"month","day","year","genus","species","plot_id","plot_type"
7,16,1977,"Neotoma","albigula",2,"Control"
7,16,1977,"Neotoma","albigula",3,"Long-term Krat Exclosure"
7,16,1977,"Dipodomys","merriami",2,"Control"
7,16,1977,"Dipodomys","merriami",7,"Rodent Exclosure"
7,16,1977,"Dipodomys","merriami",3,"Long-term Krat Exclosure"
7,16,1977,"Perognathus","flavus",1,"Spectab exclosure"
7,16,1977,"Peromyscus","eremicus",2,"Control"
7,16,1977,"Dipodomys","merriami",1,"Spectab exclosure"
7,16,1977,"Dipodomys","merriami",1,"Spectab exclosure"
7,16,1977,"Perognathus","flavus",6,"Short-term Krat Exclosure"
7,16,1977,"Dipodomys","spectabilis",5,"Rodent Exclosure"
7,16,1977,"Dipodomys","merriami",7,"Rodent Exclosure"
7,16,1977,"Dipodomys","merriami",3,"Long-term Krat Exclosure"
7,16,1977,"Dipodomys","merriami",8,"Control"
7,16,1977,"Dipodomys","merriami",6,"Short-term Krat Exclosure"
7,16,1977,"Dipodomys","merriami",4,"Control"
7,16,1977,"Dipodomys","spectabilis",3,"Long-term Krat Exclosure"
7,16,1977,"Chaetodipus","penicillatus",2,"Control"
7,16,1977,"Perognathus","flavus",4,"Control"
7,17,1977,"Dipodomys","spectabilis",11,"Control"
7,17,1977,"Dipodomys","merriami",14,"Control"
7,17,1977,"Neotoma","albigula",15,"Long-term Krat Exclosure"
7,17,1977,"Dipodomys","merriami",13,"Short-term Krat Exclosure"
7,17,1977,"Sigmodon","hispidus",13,"Short-term Krat Exclosure"
7,17,1977,"Dipodomys","merriami",9,"Spectab exclosure"
7,17,1977,"Dipodomys","merriami",15,"Long-term Krat Exclosure"
7,17,1977,"Dipodomys","merriami",15,"Long-term Krat Exclosure"
7,17,1977,"Dipodomys","merriami",11,"Control"
7,17,1977,"Chaetodipus","penicillatus",11,"Control"
7,17,1977,"Dipodomys","spectabilis",10,"Rodent Exclosure"
7,17,1977,"Dipodomys","merriami",15,"Long-term Krat Exclosure"
7,17,1977,"Dipodomys","merriami",10,"Rodent Exclosure"
7,17,1977,"Dipodomys","merriami",11,"Control"
7,17,1977,"Dipodomys","merriami",17,"Control"
7,17,1977,"Dipodomys","merriami",13,"Short-term Krat Exclosure"
7,17,1977,"Onychomys","torridus",16,"Rodent Exclosure"
7,17,1977,"Dipodomys","merriami",11,"Control"
7,17,1977,"Neotoma","albigula",17,"Control"
7,17,1977,"Dipodomys","merriami",11,"Control"
7,18,1977,"Dipodomys","merriami",20,"Short-term Krat Exclosure"
7,18,1977,"Dipodomys","merriami",23,"Rodent Exclosure"
7,18,1977,"Dipodomys","spectabilis",18,"Short-term Krat Exclosure"
7,18,1977,"Dipodomys","merriami",21,"Long-term Krat Exclosure"
7,18,1977,"Dipodomys","merriami",18,"Short-term Krat Exclosure"
7,18,1977,"Dipodomys","merriami",22,"Control"
7,18,1977,"Dipodomys","merriami",19,"Long-term Krat Exclosure"
7,18,1977,"Dipodomys","merriami",18,"Short-term Krat Exclosure"
7,18,1977,"Dipodomys","merriami",20,"Short-term Krat Exclosure"
7,18,1977,"Chaetodipus","penicillatus",12,"Control"
7,18,1977,"Dipodomys","merriami",18,"Short-term Krat Exclosure"
7,18,1977,"Dipodomys","merriami",21,"Long-term Krat Exclosure"
7,18,1977,"Dipodomys","merriami",12,"Control"
7,18,1977,"Dipodomys","merriami",22,"Control"
7,18,1977,"Dipodomys","merriami",18,"Short-term Krat Exclosure"
7,18,1977,"Dipodomys","merriami",23,"Rodent Exclosure"
7,18,1977,"Dipodomys","merriami",20,"Short-term Krat Exclosure"
7,18,1977,"Dipodomys","merriami",22,"Control"
7,18,1977,"Dipodomys","spectabilis",12,"Control"
7,18,1977,"Dipodomys","merriami",19,"Long-term Krat Exclosure"
7,18,1977,"Peromyscus","eremicus",19,"Long-term Krat Exclosure"
7,18,1977,"Dipodomys","merriami",23,"Rodent Exclosure"
7,18,1977,"Dipodomys","merriami",19,"Long-term Krat Exclosure"
8,19,1977,"Dipodomys","merriami",3,"Long-term Krat Exclosure"
8,19,1977,"Dipodomys","merriami",7,"Rodent Exclosure"
8,19,1977,"Dipodomys","merriami",4,"Control"
8,19,1977,"Dipodomys","merriami",4,"Control"
8,19,1977,"Dipodomys","merriami",7,"Rodent Exclosure"
8,19,1977,"Dipodomys","ordii",8,"Control"
8,19,1977,"Perognathus","flavus",2,"Control"
8,19,1977,"Onychomys","sp.",3,"Long-term Krat Exclosure"
8,19,1977,"Dipodomys","merriami",7,"Rodent Exclosure"
8,19,1977,"Neotoma","albigula",2,"Control"
8,19,1977,"Dipodomys","spectabilis",3,"Long-term Krat Exclosure"
8,19,1977,"Perognathus","flavus",8,"Control"
8,19,1977,"Dipodomys","merriami",8,"Control"
8,19,1977,"Dipodomys","spectabilis",9,"Spectab exclosure"
8,19,1977,"Spermophilus","spilosoma",4,"Control"
8,19,1977,"Perognathus","flavus",1,"Spectab exclosure"
8,19,1977,"Dipodomys","merriami",7,"Rodent Exclosure"
8,19,1977,"Dipodomys","spectabilis",1,"Spectab exclosure"
8,19,1977,"Perognathus","flavus",4,"Control"
8,19,1977,"Dipodomys","merriami",4,"Control"
8,20,1977,"Dipodomys","merriami",6,"Short-term Krat Exclosure"
8,20,1977,"Dipodomys","merriami",19,"Long-term Krat Exclosure"
8,20,1977,"Dipodomys","merriami",23,"Rodent Exclosure"
8,20,1977,"Dipodomys","merriami",18,"Short-term Krat Exclosure"
8,20,1977,"Perognathus","flavus",5,"Rodent Exclosure"
8,20,1977,"Dipodomys","merriami",18,"Short-term Krat Exclosure"
8,20,1977,"Chaetodipus","penicillatus",12,"Control"
8,20,1977,"Dipodomys","merriami",18,"Short-term Krat Exclosure"
8,20,1977,"Dipodomys","spectabilis",11,"Control"
8,20,1977,"Dipodomys","merriami",6,"Short-term Krat Exclosure"
8,20,1977,"Dipodomys","merriami",18,"Short-term Krat Exclosure"
8,20,1977,"Dipodomys","merriami",18,"Short-term Krat Exclosure"
8,20,1977,"Dipodomys","merriami",23,"Rodent Exclosure"
8,20,1977,"Dipodomys","merriami",12,"Control"
8,20,1977,"Dipodomys","merriami",18,"Short-term Krat Exclosure"
8,20,1977,"Dipodomys","merriami",5,"Rodent Exclosure"
8,20,1977,"Dipodomys","merriami",11,"Control"
8,20,1977,"Dipodomys","spectabilis",5,"Rodent Exclosure"
8,20,1977,"Dipodomys","merriami",5,"Rodent Exclosure"
8,20,1977,"Dipodomys","merriami",23,"Rodent Exclosure"
8,20,1977,"Dipodomys","merriami",18,"Short-term Krat Exclosure"
8,20,1977,"Dipodomys","spectabilis",11,"Control"
