"month","day","year","sex"
7,16,1977,"F"
7,16,1977,"F"
7,17,1977,"F"
7,17,1977,"F"
7,18,1977,"F"
7,18,1977,"M"
8,19,1977,"F"
8,19,1977,"F"
8,19,1977,"M"
8,20,1977,"F"
8,20,1977,"F"
8,20,1977,"M"
8,20,1977,
8,21,1977,"F"
8,21,1977,"M"
8,21,1977,"M"
8,21,1977,"F"
8,21,1977,"F"
8,21,1977,
9,11,1977,"M"
9,11,1977,"F"
9,11,1977,"M"
9,11,1977,"M"
9,11,1977,"M"
9,12,1977,"F"
9,12,1977,"M"
9,12,1977,"M"
9,12,1977,"F"
9,12,1977,"M"
9,12,1977,"M"
9,12,1977,"F"
9,12,1977,"F"
9,12,1977,"F"
9,13,1977,"M"
9,13,1977,"M"
9,13,1977,"F"
9,13,1977,
9,13,1977,"M"
9,13,1977,"F"
9,13,1977,"F"
9,13,1977,"M"
9,13,1977,"F"
9,13,1977,
10,16,1977,"M"
10,16,1977,"F"
10,16,1977,"F"
10,16,1977,"F"
10,16,1977,"F"
10,16,1977,"F"
10,16,1977,"F"
10,16,1977,"M"
10,16,1977,"M"
10,17,1977,"F"
10,17,1977,"F"
10,17,1977,"F"
10,17,1977,"F"
10,17,1977,"M"
10,17,1977,
10,17,1977,"F"
10,18,1977,"F"
10,18,1977,"F"
10,18,1977,"F"
10,18,1977,"M"
10,18,1977,"F"
10,18,1977,"M"
11,12,1977,"F"
11,12,1977,"F"
11,12,1977,"M"
11,12,1977,"F"
11,13,1977,"F"
11,13,1977,"F"
11,13,1977,"M"
11,13,1977,"F"
11,13,1977,"F"
11,13,1977,"F"
11,13,1977,"F"
11,14,1977,
11,14,1977,"F"
11,14,1977,"M"
11,14,1977,"M"
11,14,1977,"F"
12,10,1977,"F"
12,10,1977,"M"
12,10,1977,"F"
12,11,1977,"F"
12,11,1977,"M"
12,11,1977,"M"
12,11,1977,"F"
12,11,1977,"F"
12,11,1977,"F"
12,11,1977,"F"
12,11,1977,"F"
12,11,1977,"M"
12,11,1977,"M"
12,11,1977,"M"
12,11,1977,"M"
12,11,1977,"F"
12,11,1977,"F"
1,8,1978,"F"
1,8,1978,"F"
1,8,1978,"M"
1,9,1978,"F"
1,9,1978,"M"
1,9,1978,"M"
1,9,1978,"F"
1,9,1978,"F"
1,9,1978,"F"
1,9,1978,"F"
1,9,1978,"F"
1,9,1978,"M"
1,9,1978,"M"
1,10,1978,"F"
1,10,1978,"M"
1,10,1978,"F"
2,18,1978,"M"
2,18,1978,"F"
2,19,1978,"F"
2,19,1978,
2,19,1978,"M"
2,19,1978,"F"
2,19,1978,"F"
2,19,1978,"F"
2,19,1978,"F"
2,19,1978,"F"
2,19,1978,"M"
2,20,1978,"F"
2,20,1978,"F"
3,11,1978,"F"
3,11,1978,"F"
3,11,1978,"M"
3,11,1978,"F"
3,11,1978,"M"
3,12,1978,"M"
3,12,1978,"M"
3,12,1978,"F"
3,12,1978,"F"
3,12,1978,"F"
3,12,1978,"F"
3,12,1978,"F"
3,12,1978,"M"
3,12,1978,"F"
3,12,1978,"M"
3,12,1978,"F"
3,13,1978,"M"
3,13,1978,"F"
3,13,1978,"F"
4,8,1978,"F"
4,8,1978,"M"
4,8,1978,"M"
4,8,1978,"F"
4,8,1978,"F"
4,8,1978,"M"
4,8,1978,"F"
4,8,1978,"M"
4,9,1978,"F"
4,9,1978,"M"
4,9,1978,"F"
4,9,1978,"M"
4,9,1978,"F"
4,9,1978,"M"
4,9,1978,"F"
4,9,1978,"M"
4,9,1978,"M"
4,9,1978,"F"
4,9,1978,"F"
4,9,1978,"F"
4,9,1978,"F"
4,9,1978,"F"
4,9,1978,"F"
4,9,1978,"F"
4,10,1978,"M"
4,10,1978,"F"
4,10,1978,"F"
4,10,1978,"F"
4,10,1978,"F"
4,10,1978,"M"
5,6,1978,"M"
5,6,1978,"F"
5,6,1978,"F"
5,6,1978,"M"
5,6,1978,"M"
5,6,1978,"F"
5,6,1978,"F"
5,6,1978,"F"
5,6,1978,"F"
5,6,1978,"M"
5,6,1978,"F"
5,6,1978,"F"
5,17,1978,"M"
5,17,1978,"M"
5,17,1978,"F"
5,17,1978,"F"
5,17,1978,"F"
5,17,1978,"F"
5,17,1978,"M"
5,17,1978,"F"
5,17,1978,"F"
5,18,1978,"M"
5,18,1978,"M"
5,18,1978,"F"
5,18,1978,"M"
5,18,1978,"F"
5,18,1978,"F"
5,18,1978,"M"
5,18,1978,"F"
5,18,1978,"F"
5,18,1978,"M"
5,18,1978,"F"
5,19,1978,"F"
5,19,1978,"M"
5,19,1978,"F"
5,19,1978,"M"
5,19,1978,"F"
5,19,1978,"M"
5,19,1978,"F"
5,19,1978,"F"
5,19,1978,"M"
5,19,1978,"F"
5,19,1978,"F"
6,8,1978,"M"
6,8,1978,"F"
6,8,1978,"M"
6,8,1978,"F"
6,8,1978,"F"
6,8,1978,"F"
6,8,1978,"F"
6,8,1978,"M"
6,8,1978,"F"
6,8,1978,"F"
6,8,1978,"F"
6,8,1978,"M"
6,8,1978,"F"
6,8,1978,"F"
6,8,1978,"F"
6,8,1978,"F"
6,8,1978,"F"
6,8,1978,"M"
6,8,1978,"F"
6,9,1978,
6,9,1978,"M"
6,9,1978,"M"
6,9,1978,"F"
6,9,1978,"M"
6,9,1978,"F"
6,9,1978,"F"
6,9,1978,"M"
6,9,1978,"F"
6,9,1978,"M"
6,9,1978,"F"
6,9,1978,"M"
6,9,1978,"M"
6,9,1978,"F"
6,9,1978,"F"
6,9,1978,"F"
6,9,1978,"F"
6,9,1978,"M"
6,9,1978,"F"
6,9,1978,"M"
7,7,1978,"F"
7,7,1978,"F"
7,7,1978,"M"
7,7,1978,"M"
7,7,1978,"F"
7,7,1978,"F"
7,7,1978,"F"
7,7,1978,"F"
7,7,1978,"F"
7,7,1978,"F"
7,7,1978,"F"
7,7,1978,"M"
7,7,1978,"F"
7,7,1978,"F"
7,7,1978,"F"
7,7,1978,"M"
7,7,1978,"F"
7,8,1978,"M"
7,8,1978,"M"
7,8,1978,"F"
7,8,1978,"F"
7,8,1978,"M"
7,8,1978,"M"
7,8,1978,"M"
7,8,1978,"F"
7,8,1978,"M"
7,8,1978,"F"
7,8,1978,"F"
7,8,1978,"F"
7,8,1978,"F"
7,8,1978,"M"
8,4,1978,"F"
8,4,1978,"F"
8,4,1978,"F"
8,4,1978,"F"
8,4,1978,"M"
8,4,1978,"F"
8,4,1978,"M"
8,4,1978,"M"
8,4,1978,"F"
8,4,1978,"F"
8,5,1978,"M"
8,5,1978,"M"
8,5,1978,"F"
8,5,1978,"M"
8,5,1978,"F"
8,5,1978,"F"
8,5,1978,"M"
8,5,1978,"F"
8,5,1978,"F"
8,5,1978,"M"
8,5,1978,"M"
8,5,1978,
8,5,1978,"F"
8,5,1978,"F"
8,5,1978,"F"
8,5,1978,"F"
8,5,1978,"F"
8,5,1978,"M"
8,5,1978,"F"
8,5,1978,"F"
9,3,1978,"M"
9,3,1978,"M"
9,3,1978,"F"
9,3,1978,"F"
9,3,1978,"F"
9,3,1978,"F"
9,3,1978,"F"
9,3,1978,"F"
9,3,1978,"M"
9,3,1978,"F"
9,3,1978,"M"
9,3,1978,"F"
9,3,1978,"F"
9,3,1978,"F"
9,3,1978,"F"
9,3,1978,"F"
9,4,1978,"M"
9,4,1978,"F"
9,4,1978,"F"
9,4,1978,"M"
9,4,1978,"M"
9,4,1978,"F"
9,4,1978,"M"
9,4,1978,"F"
9,4,1978,"F"
9,4,1978,"F"
9,4,1978,"M"
9,4,1978,"F"
9,4,1978,"F"
9,4,1978,"F"
9,4,1978,"F"
9,4,1978,"F"
9,4,1978,"F"
10,6,1978,"F"
10,6,1978,"M"
10,6,1978,"F"
10,7,1978,"F"
10,7,1978,"M"
10,7,1978,"F"
10,7,1978,"F"
10,7,1978,"M"
10,7,1978,"M"
10,7,1978,"M"
10,7,1978,"F"
10,7,1978,"F"
10,7,1978,"F"
10,7,1978,"F"
10,7,1978,"F"
10,7,1978,"F"
10,7,1978,"F"
10,8,1978,"M"
10,8,1978,"M"
10,8,1978,"M"
10,8,1978,"F"
10,8,1978,"M"
10,8,1978,"F"
10,8,1978,"M"
10,8,1978,"F"
10,8,1978,"F"
10,8,1978,"F"
10,8,1978,"F"
11,4,1978,"F"
11,4,1978,"F"
11,4,1978,"F"
11,4,1978,"M"
11,4,1978,"F"
11,4,1978,"F"
11,4,1978,"M"
11,4,1978,"M"
11,4,1978,"M"
11,4,1978,"F"
11,4,1978,"F"
11,4,1978,"M"
11,4,1978,"F"
11,5,1978,"F"
11,5,1978,"M"
11,5,1978,"F"
11,5,1978,"M"
11,5,1978,"F"
11,5,1978,"M"
11,5,1978,"F"
11,5,1978,"F"
12,2,1978,"F"
12,2,1978,"F"
12,2,1978,"M"
12,2,1978,"F"
12,2,1978,"F"
12,2,1978,"F"
12,2,1978,"F"
12,2,1978,"F"
12,2,1978,"F"
12,3,1978,"F"
